transaction_date,outlet,meal_name,covers,unit_price_taka,gross_revenue_taka,day_name,week_number,month,day_idx
15/01/2021,Star Kabab - Purana Paltan,Chicken Boti,109,200,21800,Friday,2,Jan-2021,14
16/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,55,320,17600,Saturday,2,Jan-2021,15
16/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,38,250,9500,Saturday,2,Jan-2021,15
16/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,38,480,18240,Saturday,2,Jan-2021,15
16/01/2021,Star Kabab - Purana Paltan,Kabab Roll,19,150,2850,Saturday,2,Jan-2021,15
16/01/2021,Star Kabab - Purana Paltan,Chicken Boti,60,200,12000,Saturday,2,Jan-2021,15
17/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,68,320,21760,Sunday,2,Jan-2021,16
17/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,36,250,9000,Sunday,2,Jan-2021,16
17/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,22,480,10560,Sunday,2,Jan-2021,16
17/01/2021,Star Kabab - Purana Paltan,Kabab Roll,41,150,6150,Sunday,2,Jan-2021,16
17/01/2021,Star Kabab - Purana Paltan,Chicken Boti,46,200,9200,Sunday,2,Jan-2021,16
18/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,39,320,12480,Monday,3,Jan-2021,17
18/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,54,250,13500,Monday,3,Jan-2021,17
18/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,15,480,7200,Monday,3,Jan-2021,17
18/01/2021,Star Kabab - Purana Paltan,Kabab Roll,13,150,1950,Monday,3,Jan-2021,17
18/01/2021,Star Kabab - Purana Paltan,Chicken Boti,51,200,10200,Monday,3,Jan-2021,17
19/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,59,320,18880,Tuesday,3,Jan-2021,18
19/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,29,250,7250,Tuesday,3,Jan-2021,18
19/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,10,480,4800,Tuesday,3,Jan-2021,18
19/01/2021,Star Kabab - Purana Paltan,Kabab Roll,39,150,5850,Tuesday,3,Jan-2021,18
19/01/2021,Star Kabab - Purana Paltan,Chicken Boti,52,200,10400,Tuesday,3,Jan-2021,18
20/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,35,320,11200,Wednesday,3,Jan-2021,19
20/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,36,250,9000,Wednesday,3,Jan-2021,19
20/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,7,480,3360,Wednesday,3,Jan-2021,19
20/01/2021,Star Kabab - Purana Paltan,Kabab Roll,48,150,7200,Wednesday,3,Jan-2021,19
20/01/2021,Star Kabab - Purana Paltan,Chicken Boti,56,200,11200,Wednesday,3,Jan-2021,19
21/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,38,320,12160,Thursday,3,Jan-2021,20
21/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,26,250,6500,Thursday,3,Jan-2021,20
21/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,27,480,12960,Thursday,3,Jan-2021,20
21/01/2021,Star Kabab - Purana Paltan,Kabab Roll,72,150,10800,Thursday,3,Jan-2021,20
21/01/2021,Star Kabab - Purana Paltan,Chicken Boti,40,200,8000,Thursday,3,Jan-2021,20
22/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,55,320,17600,Friday,3,Jan-2021,21
22/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,83,250,20750,Friday,3,Jan-2021,21
22/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,30,480,14400,Friday,3,Jan-2021,21
22/01/2021,Star Kabab - Purana Paltan,Kabab Roll,92,150,13800,Friday,3,Jan-2021,21
22/01/2021,Star Kabab - Purana Paltan,Chicken Boti,118,200,23600,Friday,3,Jan-2021,21
23/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,65,320,20800,Saturday,3,Jan-2021,22
23/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,47,250,11750,Saturday,3,Jan-2021,22
23/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,14,480,6720,Saturday,3,Jan-2021,22
23/01/2021,Star Kabab - Purana Paltan,Kabab Roll,86,150,12900,Saturday,3,Jan-2021,22
23/01/2021,Star Kabab - Purana Paltan,Chicken Boti,68,200,13600,Saturday,3,Jan-2021,22
24/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,34,320,10880,Sunday,3,Jan-2021,23
24/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,45,250,11250,Sunday,3,Jan-2021,23
24/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,13,480,6240,Sunday,3,Jan-2021,23
24/01/2021,Star Kabab - Purana Paltan,Kabab Roll,32,150,4800,Sunday,3,Jan-2021,23
24/01/2021,Star Kabab - Purana Paltan,Chicken Boti,36,200,7200,Sunday,3,Jan-2021,23
25/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,41,320,13120,Monday,4,Jan-2021,24
25/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,21,250,5250,Monday,4,Jan-2021,24
25/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,14,480,6720,Monday,4,Jan-2021,24
25/01/2021,Star Kabab - Purana Paltan,Kabab Roll,43,150,6450,Monday,4,Jan-2021,24
25/01/2021,Star Kabab - Purana Paltan,Chicken Boti,45,200,9000,Monday,4,Jan-2021,24
26/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,32,320,10240,Tuesday,4,Jan-2021,25
26/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,45,250,11250,Tuesday,4,Jan-2021,25
26/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,7,480,3360,Tuesday,4,Jan-2021,25
26/01/2021,Star Kabab - Purana Paltan,Kabab Roll,62,150,9300,Tuesday,4,Jan-2021,25
26/01/2021,Star Kabab - Purana Paltan,Chicken Boti,38,200,7600,Tuesday,4,Jan-2021,25
27/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,46,320,14720,Wednesday,4,Jan-2021,26
27/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,55,250,13750,Wednesday,4,Jan-2021,26
27/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,20,480,9600,Wednesday,4,Jan-2021,26
27/01/2021,Star Kabab - Purana Paltan,Kabab Roll,59,150,8850,Wednesday,4,Jan-2021,26
27/01/2021,Star Kabab - Purana Paltan,Chicken Boti,56,200,11200,Wednesday,4,Jan-2021,26
28/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,25,320,8000,Thursday,4,Jan-2021,27
28/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,42,250,10500,Thursday,4,Jan-2021,27
28/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,25,480,12000,Thursday,4,Jan-2021,27
28/01/2021,Star Kabab - Purana Paltan,Kabab Roll,53,150,7950,Thursday,4,Jan-2021,27
28/01/2021,Star Kabab - Purana Paltan,Chicken Boti,54,200,10800,Thursday,4,Jan-2021,27
29/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,71,320,22720,Friday,4,Jan-2021,28
29/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,47,250,11750,Friday,4,Jan-2021,28
29/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,21,480,10080,Friday,4,Jan-2021,28
29/01/2021,Star Kabab - Purana Paltan,Kabab Roll,121,150,18150,Friday,4,Jan-2021,28
29/01/2021,Star Kabab - Purana Paltan,Chicken Boti,117,200,23400,Friday,4,Jan-2021,28
30/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,47,320,15040,Saturday,4,Jan-2021,29
30/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,59,250,14750,Saturday,4,Jan-2021,29
30/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,20,480,9600,Saturday,4,Jan-2021,29
30/01/2021,Star Kabab - Purana Paltan,Kabab Roll,72,150,10800,Saturday,4,Jan-2021,29
30/01/2021,Star Kabab - Purana Paltan,Chicken Boti,59,200,11800,Saturday,4,Jan-2021,29
31/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,27,320,8640,Sunday,4,Jan-2021,30
31/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,35,250,8750,Sunday,4,Jan-2021,30
31/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,26,480,12480,Sunday,4,Jan-2021,30
31/01/2021,Star Kabab - Purana Paltan,Kabab Roll,65,150,9750,Sunday,4,Jan-2021,30
31/01/2021,Star Kabab - Purana Paltan,Chicken Boti,39,200,7800,Sunday,4,Jan-2021,30
01/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,57,320,18240,Monday,5,Feb-2021,31
01/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,38,250,9500,Monday,5,Feb-2021,31
01/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,31,480,14880,Monday,5,Feb-2021,31
01/02/2021,Star Kabab - Purana Paltan,Kabab Roll,35,150,5250,Monday,5,Feb-2021,31
01/02/2021,Star Kabab - Purana Paltan,Chicken Boti,85,200,17000,Monday,5,Feb-2021,31
02/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,39,320,12480,Tuesday,5,Feb-2021,32
02/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,24,250,6000,Tuesday,5,Feb-2021,32
02/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,14,480,6720,Tuesday,5,Feb-2021,32
02/02/2021,Star Kabab - Purana Paltan,Kabab Roll,71,150,10650,Tuesday,5,Feb-2021,32
02/02/2021,Star Kabab - Purana Paltan,Chicken Boti,58,200,11600,Tuesday,5,Feb-2021,32
03/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,50,320,16000,Wednesday,5,Feb-2021,33
03/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,42,250,10500,Wednesday,5,Feb-2021,33
03/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,14,480,6720,Wednesday,5,Feb-2021,33
03/02/2021,Star Kabab - Purana Paltan,Kabab Roll,54,150,8100,Wednesday,5,Feb-2021,33
03/02/2021,Star Kabab - Purana Paltan,Chicken Boti,16,200,3200,Wednesday,5,Feb-2021,33
04/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,31,320,9920,Thursday,5,Feb-2021,34
04/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,43,250,10750,Thursday,5,Feb-2021,34
04/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,9,480,4320,Thursday,5,Feb-2021,34
04/02/2021,Star Kabab - Purana Paltan,Kabab Roll,95,150,14250,Thursday,5,Feb-2021,34
04/02/2021,Star Kabab - Purana Paltan,Chicken Boti,63,200,12600,Thursday,5,Feb-2021,34
05/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,47,320,15040,Friday,5,Feb-2021,35
05/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,74,250,18500,Friday,5,Feb-2021,35
05/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,40,480,19200,Friday,5,Feb-2021,35
05/02/2021,Star Kabab - Purana Paltan,Kabab Roll,92,150,13800,Friday,5,Feb-2021,35
05/02/2021,Star Kabab - Purana Paltan,Chicken Boti,92,200,18400,Friday,5,Feb-2021,35
06/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,57,320,18240,Saturday,5,Feb-2021,36
06/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,54,250,13500,Saturday,5,Feb-2021,36
06/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,36,480,17280,Saturday,5,Feb-2021,36
06/02/2021,Star Kabab - Purana Paltan,Kabab Roll,97,150,14550,Saturday,5,Feb-2021,36
06/02/2021,Star Kabab - Purana Paltan,Chicken Boti,76,200,15200,Saturday,5,Feb-2021,36
07/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,46,320,14720,Sunday,5,Feb-2021,37
07/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,46,250,11500,Sunday,5,Feb-2021,37
07/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,25,480,12000,Sunday,5,Feb-2021,37
07/02/2021,Star Kabab - Purana Paltan,Kabab Roll,38,150,5700,Sunday,5,Feb-2021,37
07/02/2021,Star Kabab - Purana Paltan,Chicken Boti,37,200,7400,Sunday,5,Feb-2021,37
08/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,59,320,18880,Monday,6,Feb-2021,38
08/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,53,250,13250,Monday,6,Feb-2021,38
08/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,24,480,11520,Monday,6,Feb-2021,38
08/02/2021,Star Kabab - Purana Paltan,Kabab Roll,53,150,7950,Monday,6,Feb-2021,38
08/02/2021,Star Kabab - Purana Paltan,Chicken Boti,58,200,11600,Monday,6,Feb-2021,38
09/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,50,320,16000,Tuesday,6,Feb-2021,39
09/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,21,250,5250,Tuesday,6,Feb-2021,39
09/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,21,480,10080,Tuesday,6,Feb-2021,39
09/02/2021,Star Kabab - Purana Paltan,Kabab Roll,35,150,5250,Tuesday,6,Feb-2021,39
09/02/2021,Star Kabab - Purana Paltan,Chicken Boti,41,200,8200,Tuesday,6,Feb-2021,39
10/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,42,320,13440,Wednesday,6,Feb-2021,40
10/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,54,250,13500,Wednesday,6,Feb-2021,40
10/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,9,480,4320,Wednesday,6,Feb-2021,40
10/02/2021,Star Kabab - Purana Paltan,Kabab Roll,52,150,7800,Wednesday,6,Feb-2021,40
10/02/2021,Star Kabab - Purana Paltan,Chicken Boti,56,200,11200,Wednesday,6,Feb-2021,40
11/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,50,320,16000,Thursday,6,Feb-2021,41
11/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,46,250,11500,Thursday,6,Feb-2021,41
11/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,15,480,7200,Thursday,6,Feb-2021,41
11/02/2021,Star Kabab - Purana Paltan,Kabab Roll,56,150,8400,Thursday,6,Feb-2021,41
11/02/2021,Star Kabab - Purana Paltan,Chicken Boti,41,200,8200,Thursday,6,Feb-2021,41
12/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,98,320,31360,Friday,6,Feb-2021,42
12/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,60,250,15000,Friday,6,Feb-2021,42
12/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,36,480,17280,Friday,6,Feb-2021,42
12/02/2021,Star Kabab - Purana Paltan,Kabab Roll,104,150,15600,Friday,6,Feb-2021,42
12/02/2021,Star Kabab - Purana Paltan,Chicken Boti,51,200,10200,Friday,6,Feb-2021,42
13/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,72,320,23040,Saturday,6,Feb-2021,43
13/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,38,250,9500,Saturday,6,Feb-2021,43
13/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,33,480,15840,Saturday,6,Feb-2021,43
13/02/2021,Star Kabab - Purana Paltan,Kabab Roll,69,150,10350,Saturday,6,Feb-2021,43
13/02/2021,Star Kabab - Purana Paltan,Chicken Boti,95,200,19000,Saturday,6,Feb-2021,43
14/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,43,320,13760,Sunday,6,Feb-2021,44
14/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,57,250,14250,Sunday,6,Feb-2021,44
14/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,8,480,3840,Sunday,6,Feb-2021,44
14/02/2021,Star Kabab - Purana Paltan,Kabab Roll,80,150,12000,Sunday,6,Feb-2021,44
14/02/2021,Star Kabab - Purana Paltan,Chicken Boti,59,200,11800,Sunday,6,Feb-2021,44
15/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,46,320,14720,Monday,7,Feb-2021,45
15/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,60,250,15000,Monday,7,Feb-2021,45
15/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,13,480,6240,Monday,7,Feb-2021,45
15/02/2021,Star Kabab - Purana Paltan,Kabab Roll,62,150,9300,Monday,7,Feb-2021,45
15/02/2021,Star Kabab - Purana Paltan,Chicken Boti,64,200,12800,Monday,7,Feb-2021,45
16/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,49,320,15680,Tuesday,7,Feb-2021,46
16/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,33,250,8250,Tuesday,7,Feb-2021,46
16/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,25,480,12000,Tuesday,7,Feb-2021,46
16/02/2021,Star Kabab - Purana Paltan,Kabab Roll,51,150,7650,Tuesday,7,Feb-2021,46
16/02/2021,Star Kabab - Purana Paltan,Chicken Boti,43,200,8600,Tuesday,7,Feb-2021,46
17/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,34,320,10880,Wednesday,7,Feb-2021,47
17/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,48,250,12000,Wednesday,7,Feb-2021,47
17/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,23,480,11040,Wednesday,7,Feb-2021,47
17/02/2021,Star Kabab - Purana Paltan,Kabab Roll,99,150,14850,Wednesday,7,Feb-2021,47
17/02/2021,Star Kabab - Purana Paltan,Chicken Boti,59,200,11800,Wednesday,7,Feb-2021,47
18/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,25,320,8000,Thursday,7,Feb-2021,48
18/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,45,250,11250,Thursday,7,Feb-2021,48
18/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,15,480,7200,Thursday,7,Feb-2021,48
18/02/2021,Star Kabab - Purana Paltan,Kabab Roll,54,150,8100,Thursday,7,Feb-2021,48
18/02/2021,Star Kabab - Purana Paltan,Chicken Boti,50,200,10000,Thursday,7,Feb-2021,48
19/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,50,320,16000,Friday,7,Feb-2021,49
19/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,54,250,13500,Friday,7,Feb-2021,49
19/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,29,480,13920,Friday,7,Feb-2021,49
19/02/2021,Star Kabab - Purana Paltan,Kabab Roll,103,150,15450,Friday,7,Feb-2021,49
19/02/2021,Star Kabab - Purana Paltan,Chicken Boti,79,200,15800,Friday,7,Feb-2021,49
20/02/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,62,320,19840,Saturday,7,Feb-2021,50
20/02/2021,Star Kabab - Purana Paltan,Chicken Tikka,82,250,20500,Saturday,7,Feb-2021,50
20/02/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,37,480,17760,Saturday,7,Feb-2021,50
20/02/2021,Star Kabab - Purana Paltan,Kabab Roll,98,150,14700,Saturday,7,Feb-2021,50
20/02/2021,Star Kabab - Purana Paltan,Chicken Boti,94,200,18800,Saturday,7,Feb-2021,50
