RecordDate,DishName,PortionsSold,RecipeYield_g,SalePrice_BDT,FoodCost_BDT,GrossProfit_BDT,DayType,day_idx
2022-02-16,Hilsha Fry,21,380,480,144.0,7056.0,Weekday,46
2022-02-16,Dal Makhani,18,320,180,54.0,2268.0,Weekday,46
2022-02-16,Mughlai Paratha,44,500,120,36.0,3696.0,Weekday,46
2022-02-16,Mutton Korma,23,280,420,126.0,6762.0,Weekday,46
2022-02-17,Mutton Biryani,34,450,550,165.0,13090.0,Weekday,47
2022-02-17,Hilsha Fry,27,380,480,144.0,9072.0,Weekday,47
2022-02-17,Dal Makhani,28,320,180,54.0,3528.0,Weekday,47
2022-02-17,Mughlai Paratha,16,500,120,36.0,1344.0,Weekday,47
2022-02-17,Mutton Korma,32,280,420,126.0,9408.0,Weekday,47
2022-02-18,Mutton Biryani,53,450,550,165.0,20405.0,Weekend,48
2022-02-18,Hilsha Fry,40,380,480,144.0,13440.0,Weekend,48
2022-02-18,Dal Makhani,35,320,180,54.0,4410.0,Weekend,48
2022-02-18,Mughlai Paratha,81,500,120,36.0,6804.0,Weekend,48
2022-02-18,Mutton Korma,51,280,420,126.0,14994.0,Weekend,48
2022-02-19,Mutton Biryani,29,450,550,165.0,11165.0,Weekend,49
2022-02-19,Hilsha Fry,38,380,480,144.0,12768.0,Weekend,49
2022-02-19,Dal Makhani,30,320,180,54.0,3780.0,Weekend,49
2022-02-19,Mughlai Paratha,50,500,120,36.0,4200.0,Weekend,49
2022-02-19,Mutton Korma,33,280,420,126.0,9702.0,Weekend,49
2022-02-20,Mutton Biryani,49,450,550,165.0,18865.0,Weekend,50
2022-02-20,Hilsha Fry,13,380,480,144.0,4368.0,Weekend,50
2022-02-20,Dal Makhani,24,320,180,54.0,3024.0,Weekend,50
2022-02-20,Mughlai Paratha,45,500,120,36.0,3780.0,Weekend,50
2022-02-20,Mutton Korma,28,280,420,126.0,8232.0,Weekend,50
2022-02-21,Mutton Biryani,32,450,550,165.0,12320.0,Weekday,51
2022-02-21,Hilsha Fry,24,380,480,144.0,8064.0,Weekday,51
2022-02-21,Dal Makhani,21,320,180,54.0,2646.0,Weekday,51
2022-02-21,Mughlai Paratha,52,500,120,36.0,4368.0,Weekday,51
2022-02-21,Mutton Korma,30,280,420,126.0,8820.0,Weekday,51
2022-02-22,Mutton Biryani,25,450,550,165.0,9625.0,Weekday,52
2022-02-22,Hilsha Fry,18,380,480,144.0,6048.0,Weekday,52
2022-02-22,Dal Makhani,30,320,180,54.0,3780.0,Weekday,52
2022-02-22,Mughlai Paratha,48,500,120,36.0,4032.0,Weekday,52
2022-02-22,Mutton Korma,27,280,420,126.0,7938.0,Weekday,52
2022-02-23,Mutton Biryani,24,450,550,165.0,9240.0,Weekday,53
2022-02-23,Hilsha Fry,20,380,480,144.0,6720.0,Weekday,53
2022-02-23,Dal Makhani,25,320,180,54.0,3150.0,Weekday,53
2022-02-23,Mughlai Paratha,58,500,120,36.0,4872.0,Weekday,53
2022-02-23,Mutton Korma,24,280,420,126.0,7056.0,Weekday,53
2022-02-24,Mutton Biryani,30,450,550,165.0,11550.0,Weekday,54
2022-02-24,Hilsha Fry,18,380,480,144.0,6048.0,Weekday,54
2022-02-24,Dal Makhani,28,320,180,54.0,3528.0,Weekday,54
2022-02-24,Mughlai Paratha,56,500,120,36.0,4704.0,Weekday,54
2022-02-24,Mutton Korma,16,280,420,126.0,4704.0,Weekday,54
2022-02-25,Mutton Biryani,53,450,550,165.0,20405.0,Weekend,55
2022-02-25,Hilsha Fry,39,380,480,144.0,13104.0,Weekend,55
2022-02-25,Dal Makhani,62,320,180,54.0,7812.0,Weekend,55
2022-02-25,Mughlai Paratha,80,500,120,36.0,6720.0,Weekend,55
2022-02-25,Mutton Korma,50,280,420,126.0,14700.0,Weekend,55
2022-02-26,Mutton Biryani,46,450,550,165.0,17710.0,Weekend,56
2022-02-26,Hilsha Fry,21,380,480,144.0,7056.0,Weekend,56
2022-02-26,Dal Makhani,26,320,180,54.0,3276.0,Weekend,56
2022-02-26,Mughlai Paratha,51,500,120,36.0,4284.0,Weekend,56
2022-02-26,Mutton Korma,34,280,420,126.0,9996.0,Weekend,56
2022-02-27,Mutton Biryani,31,450,550,165.0,11935.0,Weekend,57
2022-02-27,Hilsha Fry,20,380,480,144.0,6720.0,Weekend,57
2022-02-27,Dal Makhani,39,320,180,54.0,4914.0,Weekend,57
2022-02-27,Mughlai Paratha,21,500,120,36.0,1764.0,Weekend,57
2022-02-27,Mutton Korma,19,280,420,126.0,5586.0,Weekend,57
2022-02-28,Mutton Biryani,52,450,550,165.0,20020.0,Weekday,58
2022-02-28,Hilsha Fry,24,380,480,144.0,8064.0,Weekday,58
2022-02-28,Dal Makhani,24,320,180,54.0,3024.0,Weekday,58
2022-02-28,Mughlai Paratha,34,500,120,36.0,2856.0,Weekday,58
2022-02-28,Mutton Korma,29,280,420,126.0,8526.0,Weekday,58
2022-03-01,Mutton Biryani,39,450,550,165.0,15015.0,Weekday,59
2022-03-01,Hilsha Fry,27,380,480,144.0,9072.0,Weekday,59
2022-03-01,Dal Makhani,20,320,180,54.0,2520.0,Weekday,59
2022-03-01,Mughlai Paratha,46,500,120,36.0,3864.0,Weekday,59
2022-03-01,Mutton Korma,24,280,420,126.0,7056.0,Weekday,59
2022-03-02,Mutton Biryani,59,450,550,165.0,22715.0,Ramadan,60
2022-03-02,Hilsha Fry,6,380,480,144.0,2016.0,Ramadan,60
2022-03-02,Dal Makhani,13,320,180,54.0,1638.0,Ramadan,60
2022-03-02,Mughlai Paratha,24,500,120,36.0,2016.0,Ramadan,60
2022-03-02,Mutton Korma,28,280,420,126.0,8232.0,Ramadan,60
2022-03-03,Mutton Biryani,65,450,550,165.0,25025.0,Ramadan,61
2022-03-03,Hilsha Fry,12,380,480,144.0,4032.0,Ramadan,61
2022-03-03,Dal Makhani,13,320,180,54.0,1638.0,Ramadan,61
2022-03-03,Mughlai Paratha,18,500,120,36.0,1512.0,Ramadan,61
2022-03-03,Mutton Korma,41,280,420,126.0,12054.0,Ramadan,61
2022-03-04,Mutton Biryani,74,450,550,165.0,28490.0,Ramadan,62
2022-03-04,Hilsha Fry,15,380,480,144.0,5040.0,Ramadan,62
2022-03-04,Dal Makhani,13,320,180,54.0,1638.0,Ramadan,62
2022-03-04,Mughlai Paratha,28,500,120,36.0,2352.0,Ramadan,62
2022-03-04,Mutton Korma,50,280,420,126.0,14700.0,Ramadan,62
2022-03-05,Mutton Biryani,50,450,550,165.0,19250.0,Ramadan,63
2022-03-05,Hilsha Fry,16,380,480,144.0,5376.0,Ramadan,63
2022-03-05,Dal Makhani,9,320,180,54.0,1134.0,Ramadan,63
2022-03-05,Mughlai Paratha,34,500,120,36.0,2856.0,Ramadan,63
2022-03-05,Mutton Korma,28,280,420,126.0,8232.0,Ramadan,63
2022-03-06,Mutton Biryani,66,450,550,165.0,25410.0,Ramadan,64
2022-03-06,Hilsha Fry,9,380,480,144.0,3024.0,Ramadan,64
2022-03-06,Dal Makhani,7,320,180,54.0,882.0,Ramadan,64
2022-03-06,Mughlai Paratha,16,500,120,36.0,1344.0,Ramadan,64
2022-03-06,Mutton Korma,31,280,420,126.0,9114.0,Ramadan,64
2022-03-07,Mutton Biryani,43,450,550,165.0,16555.0,Ramadan,65
2022-03-07,Hilsha Fry,11,380,480,144.0,3696.0,Ramadan,65
2022-03-07,Dal Makhani,8,320,180,54.0,1008.0,Ramadan,65
2022-03-07,Mughlai Paratha,10,500,120,36.0,840.0,Ramadan,65
2022-03-07,Mutton Korma,50,280,420,126.0,14700.0,Ramadan,65
2022-03-08,Mutton Biryani,59,450,550,165.0,22715.0,Ramadan,66
2022-03-08,Hilsha Fry,9,380,480,144.0,3024.0,Ramadan,66
2022-03-08,Dal Makhani,11,320,180,54.0,1386.0,Ramadan,66
2022-03-08,Mughlai Paratha,21,500,120,36.0,1764.0,Ramadan,66
2022-03-08,Mutton Korma,43,280,420,126.0,12642.0,Ramadan,66
2022-03-09,Mutton Biryani,53,450,550,165.0,20405.0,Ramadan,67
2022-03-09,Hilsha Fry,8,380,480,144.0,2688.0,Ramadan,67
2022-03-09,Dal Makhani,14,320,180,54.0,1764.0,Ramadan,67
2022-03-09,Mughlai Paratha,24,500,120,36.0,2016.0,Ramadan,67
2022-03-09,Mutton Korma,44,280,420,126.0,12936.0,Ramadan,67
2022-03-10,Mutton Biryani,91,450,550,165.0,35035.0,Ramadan,68
2022-03-10,Hilsha Fry,10,380,480,144.0,3360.0,Ramadan,68
2022-03-10,Dal Makhani,12,320,180,54.0,1512.0,Ramadan,68
2022-03-10,Mughlai Paratha,24,500,120,36.0,2016.0,Ramadan,68
2022-03-10,Mutton Korma,43,280,420,126.0,12642.0,Ramadan,68
2022-03-11,Mutton Biryani,90,450,550,165.0,34650.0,Ramadan,69
2022-03-11,Hilsha Fry,13,380,480,144.0,4368.0,Ramadan,69
2022-03-11,Dal Makhani,20,320,180,54.0,2520.0,Ramadan,69
2022-03-11,Mughlai Paratha,18,500,120,36.0,1512.0,Ramadan,69
2022-03-11,Mutton Korma,52,280,420,126.0,15288.0,Ramadan,69
2022-03-12,Mutton Biryani,56,450,550,165.0,21560.0,Ramadan,70
2022-03-12,Hilsha Fry,6,380,480,144.0,2016.0,Ramadan,70
2022-03-12,Dal Makhani,19,320,180,54.0,2394.0,Ramadan,70
2022-03-12,Mughlai Paratha,23,500,120,36.0,1932.0,Ramadan,70
2022-03-12,Mutton Korma,44,280,420,126.0,12936.0,Ramadan,70
2022-03-13,Mutton Biryani,59,450,550,165.0,22715.0,Ramadan,71
2022-03-13,Hilsha Fry,7,380,480,144.0,2352.0,Ramadan,71
2022-03-13,Dal Makhani,14,320,180,54.0,1764.0,Ramadan,71
2022-03-13,Mughlai Paratha,24,500,120,36.0,2016.0,Ramadan,71
2022-03-13,Mutton Korma,27,280,420,126.0,7938.0,Ramadan,71
2022-03-14,Mutton Biryani,208,450,550,165.0,80080.0,Ramadan,72
2022-03-14,Hilsha Fry,29,380,480,144.0,9744.0,Ramadan,72
2022-03-14,Dal Makhani,43,320,180,54.0,5418.0,Ramadan,72
2022-03-14,Mughlai Paratha,57,500,120,36.0,4788.0,Ramadan,72
2022-03-14,Mutton Korma,98,280,420,126.0,28812.0,Ramadan,72
