Date,Dish,QtySold,PriceTk,RevenueTk,DayIndex,Weekday
17-Jan-2021,Dry Fish & Rice,58,100,5800,16,Sunday
17-Jan-2021,Special Thali,33,160,5280,16,Sunday
18-Jan-2021,Rice & Dal Thali,84,80,6720,17,Monday
18-Jan-2021,Fish Curry Plate,59,120,7080,17,Monday
18-Jan-2021,Vegetable Khichuri,46,70,3220,17,Monday
18-Jan-2021,Dry Fish & Rice,51,100,5100,17,Monday
18-Jan-2021,Special Thali,30,160,4800,17,Monday
19-Jan-2021,Rice & Dal Thali,78,80,6240,18,Tuesday
19-Jan-2021,Fish Curry Plate,34,120,4080,18,Tuesday
19-Jan-2021,Vegetable Khichuri,47,70,3290,18,Tuesday
19-Jan-2021,Dry Fish & Rice,60,100,6000,18,Tuesday
19-Jan-2021,Special Thali,23,160,3680,18,Tuesday
20-Jan-2021,Rice & Dal Thali,88,80,7040,19,Wednesday
20-Jan-2021,Fish Curry Plate,50,120,6000,19,Wednesday
20-Jan-2021,Vegetable Khichuri,35,70,2450,19,Wednesday
20-Jan-2021,Dry Fish & Rice,42,100,4200,19,Wednesday
20-Jan-2021,Special Thali,21,160,3360,19,Wednesday
21-Jan-2021,Rice & Dal Thali,93,80,7440,20,Thursday
21-Jan-2021,Fish Curry Plate,49,120,5880,20,Thursday
21-Jan-2021,Vegetable Khichuri,45,70,3150,20,Thursday
21-Jan-2021,Dry Fish & Rice,57,100,5700,20,Thursday
21-Jan-2021,Special Thali,33,160,5280,20,Thursday
22-Jan-2021,Rice & Dal Thali,87,80,6960,21,Friday
22-Jan-2021,Fish Curry Plate,81,120,9720,21,Friday
22-Jan-2021,Vegetable Khichuri,53,70,3710,21,Friday
22-Jan-2021,Dry Fish & Rice,61,100,6100,21,Friday
22-Jan-2021,Special Thali,34,160,5440,21,Friday
23-Jan-2021,Rice & Dal Thali,99,80,7920,22,Saturday
23-Jan-2021,Fish Curry Plate,56,120,6720,22,Saturday
23-Jan-2021,Vegetable Khichuri,42,70,2940,22,Saturday
23-Jan-2021,Dry Fish & Rice,49,100,4900,22,Saturday
23-Jan-2021,Special Thali,45,160,7200,22,Saturday
24-Jan-2021,Rice & Dal Thali,98,80,7840,23,Sunday
24-Jan-2021,Fish Curry Plate,44,120,5280,23,Sunday
24-Jan-2021,Vegetable Khichuri,36,70,2520,23,Sunday
24-Jan-2021,Dry Fish & Rice,48,100,4800,23,Sunday
24-Jan-2021,Special Thali,25,160,4000,23,Sunday
25-Jan-2021,Rice & Dal Thali,71,80,5680,24,Monday
25-Jan-2021,Fish Curry Plate,57,120,6840,24,Monday
25-Jan-2021,Vegetable Khichuri,55,70,3850,24,Monday
25-Jan-2021,Dry Fish & Rice,51,100,5100,24,Monday
25-Jan-2021,Special Thali,31,160,4960,24,Monday
26-Jan-2021,Rice & Dal Thali,87,80,6960,25,Tuesday
26-Jan-2021,Fish Curry Plate,54,120,6480,25,Tuesday
26-Jan-2021,Vegetable Khichuri,38,70,2660,25,Tuesday
26-Jan-2021,Dry Fish & Rice,50,100,5000,25,Tuesday
26-Jan-2021,Special Thali,31,160,4960,25,Tuesday
27-Jan-2021,Rice & Dal Thali,91,80,7280,26,Wednesday
27-Jan-2021,Fish Curry Plate,53,120,6360,26,Wednesday
27-Jan-2021,Vegetable Khichuri,50,70,3500,26,Wednesday
27-Jan-2021,Dry Fish & Rice,53,100,5300,26,Wednesday
27-Jan-2021,Special Thali,33,160,5280,26,Wednesday
28-Jan-2021,Rice & Dal Thali,77,80,6160,27,Thursday
28-Jan-2021,Fish Curry Plate,68,120,8160,27,Thursday
28-Jan-2021,Vegetable Khichuri,55,70,3850,27,Thursday
28-Jan-2021,Dry Fish & Rice,58,100,5800,27,Thursday
28-Jan-2021,Special Thali,37,160,5920,27,Thursday
29-Jan-2021,Rice & Dal Thali,84,80,6720,28,Friday
29-Jan-2021,Fish Curry Plate,69,120,8280,28,Friday
29-Jan-2021,Vegetable Khichuri,84,70,5880,28,Friday
29-Jan-2021,Dry Fish & Rice,54,100,5400,28,Friday
29-Jan-2021,Special Thali,34,160,5440,28,Friday
30-Jan-2021,Rice & Dal Thali,105,80,8400,29,Saturday
30-Jan-2021,Fish Curry Plate,36,120,4320,29,Saturday
30-Jan-2021,Vegetable Khichuri,53,70,3710,29,Saturday
30-Jan-2021,Dry Fish & Rice,57,100,5700,29,Saturday
30-Jan-2021,Special Thali,33,160,5280,29,Saturday
31-Jan-2021,Rice & Dal Thali,105,80,8400,30,Sunday
31-Jan-2021,Fish Curry Plate,44,120,5280,30,Sunday
31-Jan-2021,Vegetable Khichuri,43,70,3010,30,Sunday
31-Jan-2021,Dry Fish & Rice,39,100,3900,30,Sunday
31-Jan-2021,Special Thali,29,160,4640,30,Sunday
01-Feb-2021,Rice & Dal Thali,96,80,7680,31,Monday
01-Feb-2021,Fish Curry Plate,36,120,4320,31,Monday
01-Feb-2021,Vegetable Khichuri,55,70,3850,31,Monday
01-Feb-2021,Dry Fish & Rice,40,100,4000,31,Monday
01-Feb-2021,Special Thali,35,160,5600,31,Monday
02-Feb-2021,Rice & Dal Thali,108,80,8640,32,Tuesday
02-Feb-2021,Fish Curry Plate,62,120,7440,32,Tuesday
02-Feb-2021,Vegetable Khichuri,32,70,2240,32,Tuesday
02-Feb-2021,Dry Fish & Rice,68,100,6800,32,Tuesday
02-Feb-2021,Special Thali,41,160,6560,32,Tuesday
03-Feb-2021,Rice & Dal Thali,110,80,8800,33,Wednesday
03-Feb-2021,Fish Curry Plate,44,120,5280,33,Wednesday
03-Feb-2021,Vegetable Khichuri,39,70,2730,33,Wednesday
03-Feb-2021,Dry Fish & Rice,41,100,4100,33,Wednesday
03-Feb-2021,Special Thali,35,160,5600,33,Wednesday
04-Feb-2021,Rice & Dal Thali,96,80,7680,34,Thursday
04-Feb-2021,Fish Curry Plate,49,120,5880,34,Thursday
04-Feb-2021,Vegetable Khichuri,53,70,3710,34,Thursday
04-Feb-2021,Dry Fish & Rice,57,100,5700,34,Thursday
04-Feb-2021,Special Thali,33,160,5280,34,Thursday
05-Feb-2021,Rice & Dal Thali,103,80,8240,35,Friday
05-Feb-2021,Fish Curry Plate,34,120,4080,35,Friday
05-Feb-2021,Vegetable Khichuri,49,70,3430,35,Friday
05-Feb-2021,Dry Fish & Rice,73,100,7300,35,Friday
05-Feb-2021,Special Thali,19,160,3040,35,Friday
06-Feb-2021,Rice & Dal Thali,95,80,7600,36,Saturday
06-Feb-2021,Fish Curry Plate,50,120,6000,36,Saturday
06-Feb-2021,Vegetable Khichuri,49,70,3430,36,Saturday
06-Feb-2021,Dry Fish & Rice,59,100,5900,36,Saturday
06-Feb-2021,Special Thali,40,160,6400,36,Saturday
07-Feb-2021,Rice & Dal Thali,52,80,4160,37,Sunday
07-Feb-2021,Fish Curry Plate,50,120,6000,37,Sunday
07-Feb-2021,Vegetable Khichuri,43,70,3010,37,Sunday
07-Feb-2021,Dry Fish & Rice,56,100,5600,37,Sunday
07-Feb-2021,Special Thali,39,160,6240,37,Sunday
08-Feb-2021,Rice & Dal Thali,78,80,6240,38,Monday
08-Feb-2021,Fish Curry Plate,68,120,8160,38,Monday
08-Feb-2021,Vegetable Khichuri,43,70,3010,38,Monday
08-Feb-2021,Dry Fish & Rice,55,100,5500,38,Monday
08-Feb-2021,Special Thali,34,160,5440,38,Monday
09-Feb-2021,Rice & Dal Thali,77,80,6160,39,Tuesday
09-Feb-2021,Fish Curry Plate,57,120,6840,39,Tuesday
09-Feb-2021,Vegetable Khichuri,45,70,3150,39,Tuesday
09-Feb-2021,Dry Fish & Rice,47,100,4700,39,Tuesday
09-Feb-2021,Special Thali,35,160,5600,39,Tuesday
10-Feb-2021,Rice & Dal Thali,72,80,5760,40,Wednesday
10-Feb-2021,Fish Curry Plate,56,120,6720,40,Wednesday
10-Feb-2021,Vegetable Khichuri,49,70,3430,40,Wednesday
10-Feb-2021,Dry Fish & Rice,36,100,3600,40,Wednesday
10-Feb-2021,Special Thali,31,160,4960,40,Wednesday
11-Feb-2021,Rice & Dal Thali,94,80,7520,41,Thursday
11-Feb-2021,Fish Curry Plate,70,120,8400,41,Thursday
11-Feb-2021,Vegetable Khichuri,39,70,2730,41,Thursday
11-Feb-2021,Dry Fish & Rice,43,100,4300,41,Thursday
11-Feb-2021,Special Thali,40,160,6400,41,Thursday
12-Feb-2021,Rice & Dal Thali,88,80,7040,42,Friday
12-Feb-2021,Fish Curry Plate,75,120,9000,42,Friday
12-Feb-2021,Vegetable Khichuri,55,70,3850,42,Friday
12-Feb-2021,Dry Fish & Rice,82,100,8200,42,Friday
12-Feb-2021,Special Thali,48,160,7680,42,Friday
13-Feb-2021,Rice & Dal Thali,104,80,8320,43,Saturday
13-Feb-2021,Fish Curry Plate,77,120,9240,43,Saturday
13-Feb-2021,Vegetable Khichuri,47,70,3290,43,Saturday
13-Feb-2021,Dry Fish & Rice,61,100,6100,43,Saturday
13-Feb-2021,Special Thali,28,160,4480,43,Saturday
14-Feb-2021,Rice & Dal Thali,85,80,6800,44,Sunday
14-Feb-2021,Fish Curry Plate,53,120,6360,44,Sunday
14-Feb-2021,Vegetable Khichuri,43,70,3010,44,Sunday
14-Feb-2021,Dry Fish & Rice,38,100,3800,44,Sunday
14-Feb-2021,Special Thali,40,160,6400,44,Sunday
15-Feb-2021,Rice & Dal Thali,65,80,5200,45,Monday
15-Feb-2021,Fish Curry Plate,72,120,8640,45,Monday
15-Feb-2021,Vegetable Khichuri,39,70,2730,45,Monday
15-Feb-2021,Dry Fish & Rice,49,100,4900,45,Monday
15-Feb-2021,Special Thali,30,160,4800,45,Monday
16-Feb-2021,Rice & Dal Thali,73,80,5840,46,Tuesday
16-Feb-2021,Fish Curry Plate,65,120,7800,46,Tuesday
16-Feb-2021,Vegetable Khichuri,44,70,3080,46,Tuesday
16-Feb-2021,Dry Fish & Rice,67,100,6700,46,Tuesday
16-Feb-2021,Special Thali,28,160,4480,46,Tuesday
17-Feb-2021,Rice & Dal Thali,75,80,6000,47,Wednesday
17-Feb-2021,Fish Curry Plate,67,120,8040,47,Wednesday
17-Feb-2021,Vegetable Khichuri,31,70,2170,47,Wednesday
17-Feb-2021,Dry Fish & Rice,64,100,6400,47,Wednesday
17-Feb-2021,Special Thali,42,160,6720,47,Wednesday
18-Feb-2021,Rice & Dal Thali,65,80,5200,48,Thursday
18-Feb-2021,Fish Curry Plate,68,120,8160,48,Thursday
18-Feb-2021,Vegetable Khichuri,48,70,3360,48,Thursday
18-Feb-2021,Dry Fish & Rice,47,100,4700,48,Thursday
18-Feb-2021,Special Thali,35,160,5600,48,Thursday
19-Feb-2021,Rice & Dal Thali,134,80,10720,49,Friday
19-Feb-2021,Fish Curry Plate,74,120,8880,49,Friday
19-Feb-2021,Vegetable Khichuri,60,70,4200,49,Friday
19-Feb-2021,Dry Fish & Rice,63,100,6300,49,Friday
19-Feb-2021,Special Thali,42,160,6720,49,Friday
20-Feb-2021,Rice & Dal Thali,87,80,6960,50,Saturday
20-Feb-2021,Fish Curry Plate,63,120,7560,50,Saturday
20-Feb-2021,Vegetable Khichuri,50,70,3500,50,Saturday
20-Feb-2021,Dry Fish & Rice,60,100,6000,50,Saturday
20-Feb-2021,Special Thali,30,160,4800,50,Saturday
21-Feb-2021,Rice & Dal Thali,84,80,6720,51,Sunday
21-Feb-2021,Fish Curry Plate,44,120,5280,51,Sunday
21-Feb-2021,Vegetable Khichuri,39,70,2730,51,Sunday
21-Feb-2021,Dry Fish & Rice,47,100,4700,51,Sunday
21-Feb-2021,Special Thali,27,160,4320,51,Sunday
22-Feb-2021,Rice & Dal Thali,109,80,8720,52,Monday
22-Feb-2021,Fish Curry Plate,63,120,7560,52,Monday
22-Feb-2021,Vegetable Khichuri,53,70,3710,52,Monday
22-Feb-2021,Dry Fish & Rice,62,100,6200,52,Monday
22-Feb-2021,Special Thali,27,160,4320,52,Monday
23-Feb-2021,Rice & Dal Thali,92,80,7360,53,Tuesday
23-Feb-2021,Fish Curry Plate,56,120,6720,53,Tuesday
23-Feb-2021,Vegetable Khichuri,45,70,3150,53,Tuesday
23-Feb-2021,Dry Fish & Rice,52,100,5200,53,Tuesday
23-Feb-2021,Special Thali,29,160,4640,53,Tuesday
24-Feb-2021,Rice & Dal Thali,64,80,5120,54,Wednesday
24-Feb-2021,Fish Curry Plate,47,120,5640,54,Wednesday
24-Feb-2021,Vegetable Khichuri,38,70,2660,54,Wednesday
24-Feb-2021,Dry Fish & Rice,46,100,4600,54,Wednesday
24-Feb-2021,Special Thali,34,160,5440,54,Wednesday
25-Feb-2021,Rice & Dal Thali,72,80,5760,55,Thursday
25-Feb-2021,Fish Curry Plate,42,120,5040,55,Thursday
25-Feb-2021,Vegetable Khichuri,40,70,2800,55,Thursday
25-Feb-2021,Dry Fish & Rice,43,100,4300,55,Thursday
25-Feb-2021,Special Thali,33,160,5280,55,Thursday
26-Feb-2021,Rice & Dal Thali,80,80,6400,56,Friday
26-Feb-2021,Fish Curry Plate,67,120,8040,56,Friday
26-Feb-2021,Vegetable Khichuri,54,70,3780,56,Friday
26-Feb-2021,Dry Fish & Rice,58,100,5800,56,Friday
26-Feb-2021,Special Thali,45,160,7200,56,Friday
27-Feb-2021,Rice & Dal Thali,120,80,9600,57,Saturday
27-Feb-2021,Fish Curry Plate,62,120,7440,57,Saturday
27-Feb-2021,Vegetable Khichuri,56,70,3920,57,Saturday
27-Feb-2021,Dry Fish & Rice,51,100,5100,57,Saturday
27-Feb-2021,Special Thali,38,160,6080,57,Saturday
28-Feb-2021,Rice & Dal Thali,97,80,7760,58,Sunday
28-Feb-2021,Fish Curry Plate,41,120,4920,58,Sunday
28-Feb-2021,Vegetable Khichuri,40,70,2800,58,Sunday
28-Feb-2021,Dry Fish & Rice,44,100,4400,58,Sunday
28-Feb-2021,Special Thali,19,160,3040,58,Sunday
01-Mar-2021,Rice & Dal Thali,100,80,8000,59,Monday
01-Mar-2021,Fish Curry Plate,76,120,9120,59,Monday
01-Mar-2021,Vegetable Khichuri,65,70,4550,59,Monday
01-Mar-2021,Dry Fish & Rice,60,100,6000,59,Monday
01-Mar-2021,Special Thali,34,160,5440,59,Monday
02-Mar-2021,Rice & Dal Thali,92,80,7360,60,Tuesday
02-Mar-2021,Fish Curry Plate,52,120,6240,60,Tuesday
02-Mar-2021,Vegetable Khichuri,36,70,2520,60,Tuesday
02-Mar-2021,Dry Fish & Rice,34,100,3400,60,Tuesday
02-Mar-2021,Special Thali,36,160,5760,60,Tuesday
03-Mar-2021,Rice & Dal Thali,88,80,7040,61,Wednesday
03-Mar-2021,Fish Curry Plate,43,120,5160,61,Wednesday
03-Mar-2021,Vegetable Khichuri,32,70,2240,61,Wednesday
03-Mar-2021,Dry Fish & Rice,49,100,4900,61,Wednesday
03-Mar-2021,Special Thali,28,160,4480,61,Wednesday
04-Mar-2021,Rice & Dal Thali,74,80,5920,62,Thursday
04-Mar-2021,Fish Curry Plate,59,120,7080,62,Thursday
04-Mar-2021,Vegetable Khichuri,42,70,2940,62,Thursday
04-Mar-2021,Dry Fish & Rice,34,100,3400,62,Thursday
04-Mar-2021,Special Thali,27,160,4320,62,Thursday
05-Mar-2021,Rice & Dal Thali,111,80,8880,63,Friday
05-Mar-2021,Fish Curry Plate,64,120,7680,63,Friday
05-Mar-2021,Vegetable Khichuri,54,70,3780,63,Friday
05-Mar-2021,Dry Fish & Rice,57,100,5700,63,Friday
05-Mar-2021,Special Thali,36,160,5760,63,Friday
06-Mar-2021,Rice & Dal Thali,145,80,11600,64,Saturday
06-Mar-2021,Fish Curry Plate,49,120,5880,64,Saturday
06-Mar-2021,Vegetable Khichuri,55,70,3850,64,Saturday
06-Mar-2021,Dry Fish & Rice,57,100,5700,64,Saturday
06-Mar-2021,Special Thali,35,160,5600,64,Saturday
07-Mar-2021,Rice & Dal Thali,92,80,7360,65,Sunday
07-Mar-2021,Fish Curry Plate,62,120,7440,65,Sunday
07-Mar-2021,Vegetable Khichuri,45,70,3150,65,Sunday
07-Mar-2021,Dry Fish & Rice,42,100,4200,65,Sunday
07-Mar-2021,Special Thali,32,160,5120,65,Sunday
08-Mar-2021,Rice & Dal Thali,73,80,5840,66,Monday
08-Mar-2021,Fish Curry Plate,49,120,5880,66,Monday
08-Mar-2021,Vegetable Khichuri,45,70,3150,66,Monday
08-Mar-2021,Dry Fish & Rice,55,100,5500,66,Monday
08-Mar-2021,Special Thali,26,160,4160,66,Monday
09-Mar-2021,Rice & Dal Thali,84,80,6720,67,Tuesday
09-Mar-2021,Fish Curry Plate,41,120,4920,67,Tuesday
09-Mar-2021,Vegetable Khichuri,44,70,3080,67,Tuesday
09-Mar-2021,Dry Fish & Rice,43,100,4300,67,Tuesday
09-Mar-2021,Special Thali,37,160,5920,67,Tuesday
10-Mar-2021,Rice & Dal Thali,94,80,7520,68,Wednesday
10-Mar-2021,Fish Curry Plate,57,120,6840,68,Wednesday
10-Mar-2021,Vegetable Khichuri,35,70,2450,68,Wednesday
10-Mar-2021,Dry Fish & Rice,51,100,5100,68,Wednesday
10-Mar-2021,Special Thali,29,160,4640,68,Wednesday
11-Mar-2021,Rice & Dal Thali,81,80,6480,69,Thursday
11-Mar-2021,Fish Curry Plate,38,120,4560,69,Thursday
11-Mar-2021,Vegetable Khichuri,43,70,3010,69,Thursday
11-Mar-2021,Dry Fish & Rice,51,100,5100,69,Thursday
11-Mar-2021,Special Thali,28,160,4480,69,Thursday
12-Mar-2021,Rice & Dal Thali,106,80,8480,70,Friday
12-Mar-2021,Fish Curry Plate,43,120,5160,70,Friday
12-Mar-2021,Vegetable Khichuri,63,70,4410,70,Friday
12-Mar-2021,Dry Fish & Rice,77,100,7700,70,Friday
12-Mar-2021,Special Thali,47,160,7520,70,Friday
13-Mar-2021,Rice & Dal Thali,86,80,6880,71,Saturday
13-Mar-2021,Fish Curry Plate,61,120,7320,71,Saturday
13-Mar-2021,Vegetable Khichuri,27,70,1890,71,Saturday
13-Mar-2021,Dry Fish & Rice,56,100,5600,71,Saturday
13-Mar-2021,Special Thali,52,160,8320,71,Saturday
14-Mar-2021,Rice & Dal Thali,73,80,5840,72,Sunday
14-Mar-2021,Fish Curry Plate,64,120,7680,72,Sunday
14-Mar-2021,Vegetable Khichuri,42,70,2940,72,Sunday
14-Mar-2021,Dry Fish & Rice,42,100,4200,72,Sunday
14-Mar-2021,Special Thali,27,160,4320,72,Sunday
15-Mar-2021,Rice & Dal Thali,91,80,7280,73,Monday
15-Mar-2021,Fish Curry Plate,56,120,6720,73,Monday
15-Mar-2021,Vegetable Khichuri,40,70,2800,73,Monday
15-Mar-2021,Dry Fish & Rice,44,100,4400,73,Monday
15-Mar-2021,Special Thali,32,160,5120,73,Monday
16-Mar-2021,Rice & Dal Thali,74,80,5920,74,Tuesday
16-Mar-2021,Fish Curry Plate,39,120,4680,74,Tuesday
16-Mar-2021,Vegetable Khichuri,37,70,2590,74,Tuesday
16-Mar-2021,Dry Fish & Rice,42,100,4200,74,Tuesday
16-Mar-2021,Special Thali,26,160,4160,74,Tuesday
17-Mar-2021,Rice & Dal Thali,92,80,7360,75,Wednesday
17-Mar-2021,Fish Curry Plate,64,120,7680,75,Wednesday
17-Mar-2021,Vegetable Khichuri,47,70,3290,75,Wednesday
17-Mar-2021,Dry Fish & Rice,58,100,5800,75,Wednesday
17-Mar-2021,Special Thali,19,160,3040,75,Wednesday
18-Mar-2021,Rice & Dal Thali,85,80,6800,76,Thursday
18-Mar-2021,Fish Curry Plate,53,120,6360,76,Thursday
18-Mar-2021,Vegetable Khichuri,53,70,3710,76,Thursday
18-Mar-2021,Dry Fish & Rice,41,100,4100,76,Thursday
18-Mar-2021,Special Thali,27,160,4320,76,Thursday
19-Mar-2021,Rice & Dal Thali,142,80,11360,77,Friday
19-Mar-2021,Fish Curry Plate,68,120,8160,77,Friday
19-Mar-2021,Vegetable Khichuri,65,70,4550,77,Friday
19-Mar-2021,Dry Fish & Rice,76,100,7600,77,Friday
19-Mar-2021,Special Thali,34,160,5440,77,Friday
20-Mar-2021,Rice & Dal Thali,127,80,10160,78,Saturday
20-Mar-2021,Fish Curry Plate,60,120,7200,78,Saturday
20-Mar-2021,Vegetable Khichuri,74,70,5180,78,Saturday
20-Mar-2021,Dry Fish & Rice,59,100,5900,78,Saturday
20-Mar-2021,Special Thali,38,160,6080,78,Saturday
21-Mar-2021,Rice & Dal Thali,58,80,4640,79,Sunday
21-Mar-2021,Fish Curry Plate,57,120,6840,79,Sunday
21-Mar-2021,Vegetable Khichuri,32,70,2240,79,Sunday
21-Mar-2021,Dry Fish & Rice,47,100,4700,79,Sunday
21-Mar-2021,Special Thali,20,160,3200,79,Sunday
22-Mar-2021,Rice & Dal Thali,85,80,6800,80,Monday
22-Mar-2021,Fish Curry Plate,50,120,6000,80,Monday
22-Mar-2021,Vegetable Khichuri,52,70,3640,80,Monday
22-Mar-2021,Dry Fish & Rice,56,100,5600,80,Monday
22-Mar-2021,Special Thali,35,160,5600,80,Monday
23-Mar-2021,Rice & Dal Thali,76,80,6080,81,Tuesday
23-Mar-2021,Fish Curry Plate,61,120,7320,81,Tuesday
23-Mar-2021,Vegetable Khichuri,48,70,3360,81,Tuesday
23-Mar-2021,Dry Fish & Rice,55,100,5500,81,Tuesday
23-Mar-2021,Special Thali,28,160,4480,81,Tuesday
24-Mar-2021,Rice & Dal Thali,102,80,8160,82,Wednesday
24-Mar-2021,Fish Curry Plate,63,120,7560,82,Wednesday
24-Mar-2021,Vegetable Khichuri,48,70,3360,82,Wednesday
24-Mar-2021,Dry Fish & Rice,41,100,4100,82,Wednesday
24-Mar-2021,Special Thali,26,160,4160,82,Wednesday
25-Mar-2021,Rice & Dal Thali,80,80,6400,83,Thursday
25-Mar-2021,Fish Curry Plate,53,120,6360,83,Thursday
25-Mar-2021,Vegetable Khichuri,37,70,2590,83,Thursday
25-Mar-2021,Dry Fish & Rice,57,100,5700,83,Thursday
25-Mar-2021,Special Thali,31,160,4960,83,Thursday
26-Mar-2021,Rice & Dal Thali,98,80,7840,84,Friday
26-Mar-2021,Fish Curry Plate,68,120,8160,84,Friday
26-Mar-2021,Vegetable Khichuri,73,70,5110,84,Friday
26-Mar-2021,Dry Fish & Rice,47,100,4700,84,Friday
